StartDate,EndDate,Black,Red,Green,Age,Gender,Race,Affiliation
2/28/2023 18:15,2/28/2023 18:15,,,,,,,
2/28/2023 18:09,2/28/2023 18:16,"Phone, food, car, fan, bottle, moon, sun, table, book, door, cat, dog, shie, air, chair, shirt, water, tree, house","Knife, flower, radio, fork, guitar, window, lamp, paper, pencil, movie, key, blanket, clock, ball, desk, mirror","Exam, user, mood, love, power, oven, year, bath, person, night, day, world, math, meat, army, soup",2,1,1,1
2/28/2023 18:26,2/28/2023 18:32,"Moon, Water, Dog, Shoes, Hat, Fan, Door, Car, Food, Air, ","Pen, Knife, Desk, Bed, Table, Plate, Fork","Love, Death, Math, Bath, Soup, Health, Year, Over, Under, Mood, Elephant, Night, Height, Power, Day, Person",2,1,1,1
2/28/2023 19:31,2/28/2023 19:37,"Book, Water, Shoe, Hat, House, Dog, Cat, Air","Paper, Pen, Pencil, Knife, Wood","Night, Movie, Health, Essay",2,2,1,1
2/28/2023 19:42,2/28/2023 19:44,"Dog, cat, air, food, water","Paper, movie, pillow, bed, radio","Army, world",2,1,1,1
3/2/2023 0:01,3/2/2023 0:10,"Moon, dog, house, air, cat, book, door, bottle, tree water, table, sun, shoe, food, hat, car, fan, chair, shirt","Blanket, pen, knife, radio, desk, pillow, fork, flower, mirror, lamp, pencil, bed window, clock, ball, music","Exam, city, bath, love, army, oven, power, elephant, user, healthy, person, soup, year, night, math",2,1,1,2
3/5/2023 22:00,3/5/2023 22:07,"dog
tree
car
food
sun
can
house
bottle
book
table
","guitar
movie
paper
o’clock 
flower
blanket 
knife
music
lamp
window
","meat
year
army 
love
night
bath
oven
elephant
soup
person",2,2,4,1
3/5/2023 22:03,3/5/2023 22:09,"Shoe, car, sun, bottle , table, dog , food , tree ","Guitar, music, window, lamp, flowers, door, keys ","Person, army, night, love, soup, year, sleep ",2,2,6,1
3/5/2023 22:08,3/5/2023 22:14,"Bottle, table, dog, food, sun, tree, phone, car, shoes","Key, mirror, music","Mood, night, army, soup, bath, elephant, ",2,1,4,1
3/5/2023 22:14,3/5/2023 22:18,"Book, house, fun, dog","Music, paper, movie, math","Person, soup, meat, bath, army, love",2,2,4,3
3/5/2023 22:07,3/5/2023 22:23,"house, bottle, sun, food, tree, shoe, table","window, clock, knife, paper, music, guitar","bath, night, math, wood, love",2,2,4,1
3/5/2023 22:25,3/5/2023 22:30,"Phone, House, shoe, table, Fan, Food, Book, Dog, Tree","Clock, Mirror, Blanket, Guitar, Key, window, flower, knife, movie, ","Army, Food, Meat",2,1,4,1
3/5/2023 22:42,3/5/2023 22:42,,,,,,,
3/5/2023 23:02,3/5/2023 23:07,"Tree, House, Sun, Fan, Car, Bottle, Table, Food, Dog","Key, Knife, Mirror, Blanket, Window","Year, Soup, Mood, Love, Oven, Elephant, Meat",2,1,4,1
3/6/2023 5:42,3/6/2023 5:50,"House, bottle, shoe, fan, car, dog, table, ","key, music, movie, flower, knife, window, paper, mirror, blanket, lamp","Meet, math, love, elephant, mood, soup, night, army, bath",2,2,4,3
3/6/2023 10:19,3/6/2023 10:25,"Table, book, phone, free, car, bottle, dog","Floor, movie, paper, lamp, guitar, music, blanket, window ","Math, soup, oven, person, bath, year, love, mood, person, elephant, army",3,2,4,3
3/6/2023 10:43,3/6/2023 10:43,,,,,,,
3/6/2023 17:24,3/6/2023 17:25,,,,,,,
3/6/2023 19:24,3/6/2023 19:31,"Good, food, book, bottle, lamp","Key, lamp, flower, guitar, ","Person, love, year, math, mood, meat, elephant, bath, night, army, soup, oven",2,2,6,1
3/6/2023 19:30,3/6/2023 19:34,"Food, bottle, dog, house, fan, sun","Blanket, guitar, movie, knife, paper, window, lamp","Meat, army, math, element, bath, night, shower",2,1,4,1
3/6/2023 20:45,3/6/2023 20:50,"Sun, House, Food, Car, Lamp, Table","Mirror, Clock, Lamp, Guitar, Window, Key, Movie, Blanket, Knife, Flower","Army, Math, Mood, Person, Elephant, Year, Soup, Oven",2,2,4,1
3/6/2023 21:48,3/6/2023 21:53,"fan, tree, house","movie, paper, music, flower","person, army, elephant ",2,2,4,1
3/6/2023 21:55,3/6/2023 22:02,"House, Car, Tree, Sun, Book, Table","Blanket, Flower, Guitar, Clock, Mirror, ","Elephant, Bath, Math, Meat, Oven, ",2,1,1,1
3/6/2023 22:20,3/6/2023 22:27,"Fan, table, bottle, shoe, fan, sun, ","Lamp, movie, key, flower, guitar, music, mirror ","Elephant, math, love, bath, mood, night, army, ",2,2,1,1
3/6/2023 22:50,3/6/2023 22:57,house table food book shoe tree phone car sun armageddon,knife paper movie clock flower guitar lamp music armageddon,person night year army bath elephant math mood soup,2,4,1,1
3/7/2023 1:47,3/7/2023 1:51,"tree
book
house
food","night
flower
music
mirror
clock
key
window","soup
love
meat
year
night
",2,2,4,1
2/28/2023 18:14,2/28/2023 18:14,,,,,,,
2/28/2023 18:17,2/28/2023 18:53,,,,,,,
2/28/2023 22:59,2/28/2023 23:04,"Sun, hat, table, chair, tree, moon, dog, car, water","Clock, key, guitar, music, pencil, pen, table, desk",,,,,
